"SystematicName","StandardName","briefDescription","description","chromID","ORF.start","ORF.end","chromStrand","IntronID","Introns.length","Introns.start","Introns.end","Introns.chromStrand","relative.start","relative.end"
"YER093C-A","AIM11","Protein of unknown function","Protein of unknown function; null mutant is viable but shows increased loss of mitochondrial genome and synthetic interaction with prohibitin (phb1); contains an intron; SWAT-GFP and mCherry fusion proteins localize to the mitochondria; YER093C-A has a paralog, YBL059W, that arose from the whole genome duplication","chrV",347912,348400,-1,"S000002960_C",74,348202,348276,-1,125,199
"YER117W","RPL23B","Ribosomal 60S subunit protein L23B","Ribosomal 60S subunit protein L23B; homologous to mammalian ribosomal protein L23 and bacterial L14; RPL23B has a paralog, RPL23A, that arose from the whole genome duplication","chrV",396769,397653,1,"S000000919_C",470,396811,397281,1,43,513
"YER133W","GLC7","Type 1 S/T protein phosphatase (PP1) catalytic subunit","Type 1 S/T protein phosphatase (PP1) catalytic subunit; involved in glycogen metabolism, sporulation and mitotic progression; interacts with multiple regulatory subunits; regulates actomyosin ring formation; subunit of CPF; recruited to mating projections by Afr1p interaction; regulates nucleocytoplasmic shuttling of Hxk2p; import into the nucleus is inhibited during spindle assembly checkpoint arrest; involved in dephosphorylating Rps6a/b and Bnr1p","chrV",432495,433958,1,"S000000935_C",524,432672,433196,1,178,702
"YER179W","DMC1","Meiosis-specific recombinase required for double-strand break repair","Meiosis-specific recombinase required for double-strand break repair; also required for pairing between homologous chromosomes and for the normal morphogenesis of synaptonemal complex; binds ssDNA and dsDNA, forms helical filaments; potent inhibitor of the ATPase activity of  Srs2p helicase, blocking its ssDNA translocating motor activity and inhibiting its antirecombinase activity; stimulated by Rdh54p; homolog of Rad51p and the bacterial RecA protein ","chrV",548421,549517,1,"S000000981_C",91,548553,548644,1,133,224
"YFL031W","HAC1","Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog)","Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog); regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway triggers efficient Hac1p translation; two functional forms of Hac1p are produced; translation initiation is repressed under non-stress conditions; protein abundance increases in response to DNA replication stress","chrVI",75179,76147,1,"S000001863_C",251,75840,76091,1,662,913
"YFL034C-A","RPL22B","Ribosomal 60S subunit protein L22A","Ribosomal 60S subunit protein L22A; required for translation of long 5' UTR of IME1 mRNA and meiotic entry; autoregulates splicing of its pre-m-RNA; homologous to mammalian ribosomal protein L22, no bacterial homolog; RPL22B has a paralog, RPL22A, that arose from the whole genome duplication","chrVI",64243,64932,-1,"S000006436_C",320,64600,64920,-1,13,333
"YFL034C-B","MOB2","Activator of Cbk1p kinase","Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to Mob1p","chrVI",63016,63993,-1,"S000001859_C",113,63860,63973,-1,21,134
"YFL039C","ACT1","Actin","Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions; monomeric actin in the nucleus plays a role in INO80 chromatin remodeling","chrVI",53260,54696,-1,"S000001855_C",308,54378,54686,-1,11,319
"YFR024C-A","LSB3","Protein containing a C-terminal SH3 domain","Protein containing a C-terminal SH3 domain; binds Las17p, which is a homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly and actin polymerization; protein abundance increases in response to DNA replication stress; LSB3 has a paralog, YSC84, that arose from the whole genome duplication","chrVI",201960,203433,-1,"S000002968_C",93,203293,203386,-1,48,141
"YFR031C-A","RPL2A","Ribosomal 60S subunit protein L2A","Ribosomal 60S subunit protein L2A; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2A has a paralog, RPL2B, that arose from the whole genome duplication","chrVI",220507,221418,-1,"S000002104_C",146,221268,221414,-1,5,151
"YFR045W","MRX20","Putative mitochondrial transport protein","Putative mitochondrial transport protein; null mutant is viable, exhibits decreased levels of chitin and normal resistance to calcofluor white","chrVI",241998,242999,1,"S000001941_C",71,242010,242081,1,13,84
"YGL030W","RPL30","Ribosomal 60S subunit protein L30","Ribosomal 60S subunit protein L30; involved in pre-rRNA processing in the nucleolus; autoregulates splicing of its transcript; homologous to mammalian ribosomal protein L30, no bacterial homolog","chrVII",439091,439638,1,"S000002998_C",229,439094,439323,1,4,233
"YGL033W","HOP2","Meiosis-specific protein that localizes to chromosomes","Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion","chrVII",435625,436401,1,"S000003001_C",61,436313,436374,1,689,750
"YGL033W","HOP2","Meiosis-specific protein that localizes to chromosomes","Meiosis-specific protein that localizes to chromosomes; prevents synapsis between nonhomologous chromosomes and ensures synapsis between homologs; forms complex with Mnd1p to promote homolog pairing and meiotic double-strand break repair; heterodimer of Hop2p-Mnd1p stimulates the Dmc1p-mediated strand invasion","chrVII",435625,436401,1,"S000003001_C",69,435680,435749,1,56,125
"YGL076C","RPL7A","Ribosomal 60S subunit protein L7A","Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication","chrVII",364335,365996,-1,"S000003044_C",458,365527,365985,-1,12,470
"YGL076C","RPL7A","Ribosomal 60S subunit protein L7A","Ribosomal 60S subunit protein L7A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; contains a conserved C-terminal Nucleic acid Binding Domain (NDB2); binds to Domain II of 25S and 5.8S rRNAs; homologous to mammalian ribosomal protein L7 and bacterial L30; RPL7A has a paralog, RPL7B, that arose from the whole genome duplication","chrVII",364335,365996,-1,"S000003044_C",467,364965,365432,-1,565,1032
"YGL087C","MMS2","Ubiquitin-conjugating enzyme variant","Ubiquitin-conjugating enzyme variant; involved in error-free postreplication repair; forms a heteromeric complex with Ubc13p, an active ubiquitin-conjugating enzyme; cooperates with chromatin-associated RING finger proteins, Rad18p and Rad5p; protein abundance increases in response to DNA replication stress","chrVII",346406,346904,-1,"S000003055_C",84,346809,346893,-1,12,96
"YGL103W","RPL28","Ribosomal 60S subunit protein L28","Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance","chrVII",310967,311927,1,"S000003071_C",510,311016,311526,1,50,560
"YGL137W","SEC27","Essential beta'-coat protein of the COPI coatomer","Essential beta'-coat protein of the COPI coatomer; involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP","chrVII",249869,252738,1,"S000003105_C",199,249887,250086,1,19,218
"YGL178W","MPT5","mRNA-binding protein of the PUF family","mRNA-binding protein of the PUF family; binds to specific mRNAs, often in the 3' UTR; has broad specificity and binds to more than 1000 mRNAs (16% of the transcriptome); recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation, decapping, and decay; also interacts with the Caf20p translational initiation repressor, affecting its mRNA target specificity","chrVII",167352,170571,1,"S000003146_C",639,167355,167994,1,4,643
"YGL183C","MND1","Protein required for recombination and meiotic nuclear division","Protein required for recombination and meiotic nuclear division; forms a complex with Hop2p, which is involved in chromosome pairing and repair of meiotic double-strand breaks","chrVII",156543,157285,-1,"S000003151_C",82,157200,157282,-1,4,86
"YGL226C-A","OST5","Zeta subunit of the oligosaccharyltransferase complex of the ER lumen","Zeta subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes asparagine-linked glycosylation of newly synthesized proteins","chrVII",72749,73158,-1,"S000003194_C",148,72989,73137,-1,22,170
"YGL232W","TAN1","Putative tRNA acetyltransferase","Putative tRNA acetyltransferase; RNA-binding protein required for the formation of the modified nucleoside N(4)-acetylcytidine in serine and leucine tRNAs but not required for the same modification in 18S rRNA; protein abundance increases in response to DNA replication stress","chrVII",62075,63002,1,"S000003201_C",57,62132,62189,1,58,115
"YGL251C","HFM1","Meiosis specific DNA helicase","Meiosis specific DNA helicase; involved in the conversion of double-stranded breaks to later recombination intermediates and in crossover control; catalyzes the unwinding of Holliday junctions; has ssDNA and dsDNA stimulated ATPase activity","chrVII",27921,31636,-1,"S000003220_C",151,31427,31578,-1,59,210
"YGR001C","EFM5","S-adenosylmethionine-dependent lysine methyltransferase","S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro","chrVII",497133,498034,-1,"S000003233_C",61,497938,497999,-1,36,97
"YGR001C","EFM5","S-adenosylmethionine-dependent lysine methyltransferase","S-adenosylmethionine-dependent lysine methyltransferase; involved in the trimethylation of eEF1A (Tef1p/Tef2p) at lysine 79; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; required for replication of Brome mosaic virus in budding yeast; expresses a circular RNA; originally misclassified as a N-6-adenine specific DNA methyltransferase based on sequence similarity; both Efm5p and human ortholog N6AMT2 can methylate eEF1a from either species in vitro","chrVII",497133,498034,-1,"S000003233_C",92,497366,497458,-1,577,669
"YGR029W","ERV1","Flavin-linked sulfhydryl oxidase of the mitochondrial IMS","Flavin-linked sulfhydryl oxidase of the mitochondrial IMS; N-terminus is an intrinsically disordered domain that in the cytosol helps target Erv1p to mitochondria, and in the intermembrane space oxidizes Mia40p as part of a disulfide relay system that promotes intermembrane space retention of imported proteins; functional ortholog of human GFER (ALR); human GFER carrying N-terminal 21 amino acids of Erv1p functionally complements the lethality of the erv1 null mutation","chrVII",543553,544205,1,"S000003261_C",82,543639,543721,1,87,169
"YGR034W","RPL26B","Ribosomal 60S subunit protein L26B","Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog, RPL26A, that arose from the whole genome duplication","chrVII",555812,556672,1,"S000003266_C",476,555831,556307,1,20,496
"YGR118W","RPS23A","Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit","Ribosomal protein 28 (rp28) of the small (40S) ribosomal subunit; required for translational accuracy; homologous to mammalian ribosomal protein S23 and bacterial S12; RPS23A has a paralog, RPS23B, that arose from the whole genome duplication; deletion of both RPS23A and RPS23B is lethal","chrVII",726974,727730,1,"S000003350_C",318,727039,727357,1,66,384
"YGR183C","QCR9","Subunit 9 of ubiquinol cytochrome-c reductase (Complex III)","Subunit 9 of ubiquinol cytochrome-c reductase (Complex III); Complex III is a component of the mitochondrial inner membrane electron transport chain; required for electron transfer at the ubiquinol oxidase site of the complex","chrVII",859063,859476,-1,"S000003415_C",212,859261,859473,-1,4,216
"YGR214W","RPS0A","Ribosomal 40S subunit protein S0A","Ribosomal 40S subunit protein S0A; required for maturation of 18S rRNA along with Rps0Bp; deletion of either RPS0 gene reduces growth rate, deletion of both genes is lethal; homologous to human ribosomal protein SA and bacterial S2; RPS0A has a paralog, RPS0B, that arose from the whole genome duplication;","chrVII",920575,921788,1,"S000003446_C",454,920665,921119,1,91,545
"YGR225W","AMA1","Activator of meiotic anaphase promoting complex (APC/C)","Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis; prevents premature assembly of the meiosis I spindle, required for DSB induced prophase I arrest","chrVII",945145,947019,1,"S000003457_C",92,946328,946420,1,1184,1276
"YGR296W","YRF1-3","Helicase encoded by the Y' element of subtelomeric regions","Helicase encoded by the Y' element of subtelomeric regions; highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p","chrVII",1084864,1090591,1,"S000003528_C",147,1084883,1085030,1,20,167
"YHL001W","RPL14B","Ribosomal 60S subunit protein L14B","Ribosomal 60S subunit protein L14B; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14B has a paralog, RPL14A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","chrVIII",104277,105091,1,"S000000993_C",397,104406,104803,1,130,527
"YHL050C","","Putative protein of unknown function","Putative protein of unknown function; potential Cdc28p substrate","chrVIII",445,3311,-1,"S000001042_C",772,1898,2670,-1,642,1414
"YHR001W-A","QCR10","Subunit of the ubiqunol-cytochrome c oxidoreductase complex","Subunit of the ubiqunol-cytochrome c oxidoreductase complex; this complex comprises part of the mitochondrial respiratory chain; members include Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p and comprises part of the mitochondrial respiratory chain","chrVIII",107826,108122,1,"S000003529_C",62,107832,107894,1,7,69
"YHR010W","RPL27A","Ribosomal 60S subunit protein L27A","Ribosomal 60S subunit protein L27A; homologous to mammalian ribosomal protein L27, no bacterial homolog; RPL27A has a paralog, RPL27B, that arose from the whole genome duplication","chrVIII",126521,127492,1,"S000001052_C",560,126552,127112,1,32,592
"YHR012W","VPS29","Subunit of the membrane-associated retromer complex","Subunit of the membrane-associated retromer complex; endosomal protein; essential for endosome-to-Golgi retrograde transport; forms a subcomplex with Vps35p and Vps26p that selects cargo proteins for endosome-to-Golgi retrieval","chrVIII",129481,130448,1,"S000001054_C",118,129529,129647,1,49,167
"YHR016C","YSC84","Actin-binding protein","Actin-binding protein; involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p; YSC84 has a paralog, LSB3, that arose from the whole genome duplication","chrVIII",136881,138455,-1,"S000001058_C",167,138241,138408,-1,48,215
"YHR021C","RPS27B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27B has a paralog, RPS27A, that arose from the whole genome duplication","chrVIII",147871,148669,-1,"S000001063_C",549,148117,148666,-1,4,553
"YHR039C-A","VMA10","Subunit G of the V1 peripheral membrane domain of V-ATPase","Subunit G of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; involved in vacuolar acidification; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits","chrVIII",187173,187679,-1,"S000002100_C",161,187515,187676,-1,4,165
"YHR041C","SRB2","Subunit of the RNA polymerase II mediator complex","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; general transcription factor involved in telomere maintenance","chrVIII",189131,189864,-1,"S000001083_C",100,189750,189850,-1,15,115
"YHR076W","PTC7","Type 2C serine/threonine protein phosphatase (PP2C)","Type 2C serine/threonine protein phosphatase (PP2C); alternatively spliced to create two mRNA isoforms; protein from spliced form localizes to the mitochondria while the one from the unspliced form is localized to the nuclear envelope; activates coenzyme Q6 biosynthesis by dephosphorylation of demethoxy-Q6 hydroxylase Coq7p","chrVIII",251101,252225,1,"S000001118_C",92,251156,251248,1,56,148
"YHR077C","NMD2","Protein involved in the nonsense-mediated mRNA decay (NMD) pathway","Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance","chrVIII",252374,255756,-1,"S000001119_C",112,255638,255750,-1,7,119
"YHR079C-A","SAE3","Meiosis-specific protein involved in meiotic recombination","Meiosis-specific protein involved in meiotic recombination; involved in DMC1-dependent meiotic recombination; forms heterodimer with Mei5p; proposed to be an assembly factor for Dmc1p","chrVIII",262192,262553,-1,"S000001957_C",85,262355,262440,-1,114,199
"YHR097C","PAL2","Protein involved in clathrin-mediated endocytosis","Protein involved in clathrin-mediated endocytosis; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus; YHR097C has a paralog, PAL1, that arose from the whole genome duplication","chrVIII",297385,298609,-1,"S000001139_C",123,298361,298484,-1,126,249
"YHR101C","BIG1","Integral membrane protein of the endoplasmic reticulum","Integral membrane protein of the endoplasmic reticulum; required for normal content of cell wall beta-1,6-glucan","chrVIII",314874,315968,-1,"S000001143_C",86,315772,315858,-1,111,197
"YHR123W","EPT1","sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase","sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferase; not essential for viability; EPT1 has a paralog, CPT1, that arose from the whole genome duplication","chrVIII",354815,356081,1,"S000001165_C",90,354865,354955,1,51,141
"YHR141C","RPL42B","Ribosomal 60S subunit protein L42B","Ribosomal 60S subunit protein L42B; required for propagation of the killer toxin-encoding M1 double-stranded RNA satellite of the L-A double-stranded RNA virus; homologous to mammalian ribosomal protein L36A, no bacterial homolog; RPL42B has a paralog, RPL42A, that arose from the whole genome duplication","chrVIII",381990,382751,-1,"S000001183_C",440,382307,382747,-1,5,445
"YHR199C-A","NBL1","Subunit of the conserved chromosomal passenger complex (CPC)","Subunit of the conserved chromosomal passenger complex (CPC); complex regulates mitotic chromosome segregation; not required for the kinase activity of the complex; mediates the interaction of Sli15p and Bir1p; other complex members are Ipl1p, Sli15p, and Bir1p","chrVIII",498571,498859,-1,"S000029704_C",66,498720,498786,-1,74,140
"YHR203C","RPS4B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4B has a paralog, RPS4A, that arose from the whole genome duplication","chrVIII",504476,505530,-1,"S000001246_C",268,505248,505516,-1,15,283
"YHR218W","","Helicase-like protein encoded within the telomeric Y' element","Helicase-like protein encoded within the telomeric Y' element","chrVIII",558014,559924,1,"S000001261_C",98,558616,558714,1,603,701
"YIL004C","BET1","Type II membrane protein required for vesicular transport","Type II membrane protein required for vesicular transport; required for vesicular transport between the endoplasmic reticulum and Golgi complex; v-SNARE with similarity to synaptobrevins","chrIX",347946,348505,-1,"S000001266_C",130,348364,348494,-1,12,142
"YIL018W","RPL2B","Ribosomal 60S subunit protein L2B","Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures","chrIX",316768,317932,1,"S000001280_C",399,316772,317171,1,5,404
"YIL052C","RPL34B","Ribosomal 60S subunit protein L34B","Ribosomal 60S subunit protein L34B; homologous to mammalian ribosomal protein L34, no bacterial homolog; RPL34B has a paralog, RPL34A, that arose from the whole genome duplication","chrIX",256226,257063,-1,"S000001314_C",471,256555,257026,-1,38,509
"YIL069C","RPS24B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S24, no bacterial homolog; RPS24B has a paralog, RPS24A, that arose from the whole genome duplication","chrIX",231553,232369,-1,"S000001331_C",408,231958,232366,-1,4,412
"YIL073C","SPO22","Meiosis-specific protein essential for chromosome synapsis","Meiosis-specific protein essential for chromosome synapsis; involved in completion of nuclear divisions during meiosis; induced early in meiosis","chrIX",222937,225954,-1,"S000001335_C",89,225810,225899,-1,56,145
"YIL106W","MOB1","Component of the mitotic exit network","Component of the mitotic exit network; associates with and is required for the activation and Cdc15p-dependent phosphorylation of the Dbf2p kinase; required for cytokinesis and cell separation; component of the CCR4 transcriptional complex; relocalizes from cytoplasm to the nuclear periphery upon DNA replication stress","chrIX",166415,167444,1,"S000001368_C",84,166435,166519,1,21,105
"YIL111W","COX5B","Subunit Vb of cytochrome c oxidase","Subunit Vb of cytochrome c oxidase; cytochrome c oxidase is the terminal member of the mitochondrial inner membrane electron transport chain; Cox5Bp is predominantly expressed during anaerobic growth while its isoform Va (Cox5Ap) is expressed during aerobic growth; COX5B has a paralog, COX5A, that arose from the whole genome duplication","chrIX",155222,155765,1,"S000001373_C",87,155223,155310,1,2,89
"YIL133C","RPL16A","Ribosomal 60S subunit protein L16A","Ribosomal 60S subunit protein L16A; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16A has a paralog, RPL16B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","chrIX",98527,99416,-1,"S000001395_C",289,99096,99385,-1,32,321
"YIL148W","RPL40A","Ubiquitin-ribosomal 60S subunit protein L40A fusion protein","Ubiquitin-ribosomal 60S subunit protein L40A fusion protein; cleaved to yield ubiquitin and ribosomal protein L40A; ubiquitin may facilitate assembly of the ribosomal protein into ribosomes; homologous to mammalian ribosomal protein L40, no bacterial homolog; RPL40A has a paralog, RPL40B, that arose from the whole genome duplication; relative distribution to the nucleus increases upon DNA replication stress","chrIX",68708,69528,1,"S000001410_C",433,68716,69149,1,9,442
"YIL156W-B","MCO8","Mitochondrial protein of unknown function","Mitochondrial protein of unknown function; originally identified based on homology to <i>Ashbya gossypii</i> and other related yeasts; SWAT-GFP and mCherry fusion proteins localize to the vacuole, while SWAT-GFP fusion also localizes to the endoplasmic reticulum","chrIX",47690,47973,1,"S000028511_C",61,47699,47760,1,10,71
"YIL177C","","Putative Y' element ATP-dependent helicase","Putative Y' element ATP-dependent helicase","chrIX",483,6147,-1,"S000001439_C",387,4599,4986,-1,1162,1549
"YJL001W","PRE3","Beta 1 subunit of the 20S proteasome","Beta 1 subunit of the 20S proteasome; responsible for cleavage after acidic residues in peptides","chrX",435163,435926,1,"S000003538_C",115,435228,435343,1,66,181
"YJL024C","APS3","Small subunit of the clathrin-associated adaptor complex AP-3","Small subunit of the clathrin-associated adaptor complex AP-3; involved in vacuolar protein sorting; related to the sigma subunit of the mammalian clathrin AP-3 complex; suppressor of loss of casein kinase 1 function; protein abundance increases in response to DNA replication stress","chrX",395931,396592,-1,"S000003561_C",76,396494,396570,-1,23,99
"YJL031C","BET4","Alpha subunit of Type II geranylgeranyltransferase","Alpha subunit of Type II geranylgeranyltransferase; required for vesicular transport between the endoplasmic reticulum and the Golgi; provides a membrane attachment moiety to Rab-like proteins Ypt1p and Sec4p","chrX",386368,387438,-1,"S000003568_C",86,387349,387435,-1,4,90
"YJL041W","NSP1","FG-nucleoporin component of central core of the nuclear pore complex","FG-nucleoporin component of central core of the nuclear pore complex; also part of the nuclear pore complex (NPC) nuclear basket; contributes directly to nucleocytoplasmic transport and maintenance of the NPC permeability barrier; found in stable complex with Nup82p, Gle2p and two other FG-nucleoporins (Nup159p and Nup116p); also found in stable complex with Nic96p and two other FG-nucleoproteins (Nup49p and Nup57p)","chrX",365784,368373,1,"S000003577_C",117,365785,365902,1,2,119
"YJL136C","RPS21B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S21, no bacterial homolog; RPS21B has a paralog, RPS21A, that arose from the whole genome duplication","chrX",156550,157273,-1,"S000003672_C",459,156790,157249,-1,25,484
"YJL177W","RPL17B","Ribosomal 60S subunit protein L17B","Ribosomal 60S subunit protein L17B; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17B has a paralog, RPL17A, that arose from the whole genome duplication","chrX",90786,91657,1,"S000003713_C",316,91095,91411,1,310,626
"YJL189W","RPL39","Ribosomal 60S subunit protein L39","Ribosomal 60S subunit protein L39; required for ribosome biogenesis; loss of both Rpl31p and Rpl39p confers lethality; also exhibits genetic interactions with SIS1 and PAB1; homologous to mammalian ribosomal protein L39, no bacterial homolog","chrX",75933,76474,1,"S000003725_C",385,75939,76324,1,7,392
"YJL191W","RPS14B","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14B has a paralog, RPS14A, that arose from the whole genome duplication","chrX",73787,74611,1,"S000003727_C",407,73797,74204,1,11,418
"YJL205C","NCE101","Protein of unknown function","Protein of unknown function; involved in secretion of proteins that lack classical secretory signal sequences; SWAT-GFP and mCherry fusion proteins localize to the cytosol","chrX",50139,50443,-1,"S000003742_C",142,50269,50411,-1,33,175
"YJL225C","","Putative Y' element ATP-dependent helicase","Putative Y' element ATP-dependent helicase","chrX",466,6130,-1,"S000003760_C",387,4582,4969,-1,1162,1549
"YJR021C","REC107","Protein involved in early stages of meiotic recombination","Protein involved in early stages of meiotic recombination; involved in coordination between the initiation of recombination and the first division of meiosis; part of a complex (Rec107p-Mei4p-Rec114p) required for ds break formation","chrX",468555,469579,-1,"S000003782_C",79,469184,469263,-1,317,396
"YJR079W","","Putative protein of unknown function","Putative protein of unknown function; mutation results in impaired mitochondrial respiration","chrX",580205,581239,1,"S000003840_C",704,580348,581052,1,144,848
"YJR094W-A","RPL43B","Ribosomal 60S subunit protein L43B","Ribosomal 60S subunit protein L43B; homologous to mammalian ribosomal protein L37A, no bacterial homolog; RPL43B has a paralog, RPL43A, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","chrX",608305,608858,1,"S000003855_C",274,608307,608581,1,3,277
"YJR112W-A","","Putative protein of unknown function","Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; identified based on homology to <i>Ashbya gossypii</i>","chrX",637790,638168,1,"S000028513_C",48,637810,637858,1,21,69
"YJR145C","RPS4A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; mutation affects 20S pre-rRNA processing; homologous to mammalian ribosomal protein S4, no bacterial homolog; RPS4A has a paralog, RPS4B, that arose from the whole genome duplication","chrX",702027,703068,-1,"S000003906_C",255,702799,703054,-1,15,270
"YKL002W","DID4","Class E Vps protein of the ESCRT-III complex","Class E Vps protein of the ESCRT-III complex; required for sorting of integral membrane proteins into lumenal vesicles of multivesicular bodies, and for delivery of newly synthesized vacuolar enzymes to the vacuole, involved in endocytosis","chrXI",437778,438544,1,"S000001485_C",67,437838,437905,1,61,128
"YKL006C-A","SFT1","Intra-Golgi v-SNARE","Intra-Golgi v-SNARE; required for transport of proteins between an early and a later Golgi compartment","chrXI",430198,430632,-1,"S000002101_C",140,430456,430596,-1,37,177
"YKL006W","RPL14A","Ribosomal 60S subunit protein L14A","Ribosomal 60S subunit protein L14A; N-terminally acetylated; homologous to mammalian ribosomal protein L14, no bacterial homolog; RPL14A has a paralog, RPL14B, that arose from the whole genome duplication","chrXI",431906,432720,1,"S000001489_C",397,432035,432432,1,130,527
"YKL081W","TEF4","Gamma subunit of translational elongation factor eEF1B","Gamma subunit of translational elongation factor eEF1B; stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex","chrXI",282891,284455,1,"S000001564_C",325,283096,283421,1,206,531
"YKL156W","RPS27A","Protein component of the small (40S) ribosomal subunit","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27A has a paralog, RPS27B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress","chrXI",158613,159212,1,"S000001639_C",350,158616,158966,1,4,354
"YKL157W","APE2","Aminopeptidase yscII","Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication","chrXI",154991,158232,1,"S000001640_C",382,155272,155654,1,282,664
