Gene,YN00_mean,YN00_median,NG86_mean,NG86_median,LWL85_mean,LWL85_median,LWL85m_mean,LWL85m_median,LPB93_mean,LPB93_median
YCL050C,0.057685439,0,0.037378874,0,0.023383491,0,0.04409559,0,0.051349759,0
YCL051W,0.563261366,0.516129032,0.428275186,0.394736842,0.356392358,0.3125,0.789528996,0.727272727,0.731334341,0.666666667
YCL052C,0.217561906,0.177062374,0.171535013,0.138888889,0.170678358,0.114285714,0.234465827,0.181818182,0.252637943,0.2
YCL054W,0.114738166,0.080882353,0.084055539,0.056818182,0.046332282,0.033333333,0.071130759,0.055555556,0.078861206,0.047619048
YCL055W,0.124233079,0.07486631,0.09053023,0.054621849,0.064806226,0.038461538,0.108091747,0.071428571,0.118077931,0.071428571
YCL056C,0.140756233,0,0.097998116,0,0.03570588,0,0.090502272,0,0.100737002,0
YCL057C-A,0.032470216,0,0.026792854,0,0.022770638,0,0.04120116,0,0.039214967,0
YCL057W,0.262664909,0.226027397,0.175367081,0.151515152,0.123799713,0.105263158,0.216155132,0.181818182,0.227617039,0.166666667
YCL058C,0.538742054,0.5,0.345936675,0.322222222,0.282080062,0.222222222,0.457360384,0.25,0.505519776,0.5
YCL058W-A,0.198185636,0,0.125297317,0,0.103337696,0,0.287159991,0,0.236412917,0
YCL059C,0.092254026,0,0.060138061,0,0.044093336,0,0.042446919,0,0.09203446,0
YCL061C,0.329878977,0.295238095,0.244460261,0.218289086,0.208514095,0.2,0.400874305,0.357142857,0.378072484,0.333333333
YCL063W,0.41056003,0.316091954,0.314074263,0.242857143,0.30602143,0.227272727,0.440655646,0.2,0.469430174,0.3
YCL064C,0.105613883,0.064171123,0.093187726,0.058252427,0.075714348,0.045454545,0.124689823,0.066666667,0.12543125,0.066666667
YCL065W,1.303236258,1.480392157,1.059117594,1.208333333,0.871768429,1,0.419864267,0.571428571,1.716573715,1.857142857
YCL066W,0.002400068,0,0.001767317,0,0.001433445,0,0.001228313,0,0.00131877,0
YCL067C,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
YCL068C,0.31092824,0.409090909,0.228013162,0.303571429,0.156504199,0.166666667,0.110037269,0.111111111,0.153531417,0.111111111
YCL069W,0.216993438,0.185185185,0.185015895,0.163934426,0.080131204,0,0.210760093,0.166666667,0.213205468,0
YCL073C,0.333490536,0.28358209,0.258705616,0.223602484,0.201024568,0.171428571,0.379533737,0.333333333,0.378996508,0.318181818
YCL076W,0.836371499,0.791666667,0.57625463,0.54296875,0.510414917,0.464285714,0.394613477,0.371428571,0.578804605,0.526315789
YCR001W,0.552194136,0.645101664,0.442019816,0.528571429,0.388112934,0.452830189,0.63218401,0.555555556,0.554461591,0.4
YCR002C,0.10606065,0.105263158,0.096597596,0.09352518,0.069601527,0.066666667,0.150232185,0.125,0.154935308,0.125
YCR003W,0.159960097,0.143678161,0.121451354,0.110328638,0.097539164,0.086956522,0.158077497,0.066666667,0.191236409,0.133333333
YCR004C,0.135387814,0.094059406,0.116628641,0.079646018,0.077405301,0.041666667,0.084117079,0.041666667,0.138649204,0.071428571
YCR005C,0.061028885,0,0.048959494,0,0.013883358,0,0.079224271,0,0.051537526,0
YCR006C,0.916713385,0.810810811,0.714435025,0.629213483,0.743632294,0.428571429,0.679022784,0.555555556,1.020291907,0.666666667
YCR007C,0.553168504,0.37254902,0.406930814,0.276923077,0.329329523,0.142857143,0.565184356,0.5,0.689882245,0.5
YCR008W,0.144850614,0.106617647,0.140485417,0.105072464,0.106595244,0.068965517,0.117590316,0.111111111,0.14410573,0.095238095
YCR009C,0.099167393,0.061818182,0.071766716,0.045454545,0.048574507,0.026315789,0.074356904,0.038461538,0.143820615,0.083333333
YCR010C,0.026327581,0,0.023402332,0,0.015062644,0,0.019175644,0,0.021206202,0
YCR011C,0.183192261,0.135416667,0.145726895,0.10619469,0.053795707,0,0.130479641,0.083333333,0.147751465,0.111111111
YCR012W,0.082832219,0,0.054897174,0,0.070164503,0,0.11768367,0,0.046491633,0
YCR013C,0.183980959,0,0.139645374,0,0.157022447,0,0.213882927,0,0.213562268,0
YCR014C,0.404747158,0.345132743,0.304054337,0.257142857,0.214880233,0.2,0.220358992,0.176470588,0.445002186,0.333333333
YCR015C,0.699611859,0.682926829,0.530584531,0.54,0.478280498,0.4,0.971862823,0.625,1.2955129,1
YCR016W,0.283986194,0.2,0.179134149,0.126637555,0.134891981,0.105263158,0.312857297,0.230769231,0.31677376,0.230769231
YCR017C,0.31023711,0.228571429,0.256553861,0.190082645,0.183281467,0.111111111,0.321110427,0.25,0.338830568,0.25
YCR018C-A,0.594500476,0.616935484,0.441130232,0.456803456,0.481970419,0.488095238,0.63721344,0.545454545,0.65014555,0.652173913
YCR018C,0.277066263,0.25,0.241010539,0.219679634,0.159744102,0.142857143,0.225470323,0.172413793,0.247915,0.178571429
YCR019W,0.182707234,0.172093023,0.147468257,0.142011834,0.117698565,0.111111111,0.22627002,0.2,0.205809826,0.166666667
YCR020C-A,0.108900864,0,0.105682342,0,0.083419464,0,0.1633398,0,0.156605138,0
YCR020C,0.378452374,0.383928571,0.260433995,0.263513514,0.184189039,0.125,0.550856141,0.5,0.399631668,0.25
YCR020W-B,0.034943411,0,0.022834431,0,0.019643413,0,0.075023111,0,0.044108372,0
YCR021C,0.260054784,0.2,0.193742169,0.149425287,0.154917175,0.111111111,0.119019597,0.071428571,0.273488946,0.111111111
YCR022C,0.610892799,0.865979381,0.452835184,0.644628099,0.386999684,0.538461538,0.846128243,1.125,0.588909858,0.615384615
YCR023C,0.50108623,0.420289855,0.464909087,0.383561644,0.386367352,0.25,0.256370623,0.2,0.458964911,0.307692308
YCR024C-A,0.001521936,0,0.001254838,0,0.000984228,0,0.002265466,0,0.002343526,0
YCR024C-B,0.040017669,0,0.028613623,0,0.021674047,0,0.028162031,0,0.037247943,0
YCR024C,0.219118092,0.153005464,0.184973017,0.122641509,0.125839886,0.076923077,0.291684201,0.2,0.320302419,0.142857143
YCR025C,0.938471263,0.793103448,0.755694077,0.637254902,0.648294326,0.545454545,1.218380983,1.153846154,1.213993098,1
YCR026C,0.630492356,0.510204082,0.449042911,0.362204724,0.318525434,0.25,0.68633348,0.555555556,0.640779998,0.5
YCR027C,0.361011762,0.328125,0.331806399,0.302158273,0.201793349,0.166666667,0.331597258,0.272727273,0.349704455,0.272727273
YCR028C-A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YCR028C,0.154488477,0.079295154,0.122631362,0.063670412,0.06649075,0,0.170454885,0,0.163945669,0.0625
YCR030C,0.423078128,0.4,0.32070652,0.304347826,0.275438467,0.25,0.380156776,0.375,0.367782838,0.333333333
YCR031C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YCR032W,0.300607603,0.24822695,0.205337684,0.166666667,0.119447831,0.117647059,0.260350246,0.230769231,0.235252281,0.222222222
YCR033W,0.704801015,0.540229885,0.618145836,0.470149254,0.548180902,0.4,0.814190253,0.666666667,0.815304982,0.666666667
YCR034W,0.046902982,0,0.037797426,0,0.027703522,0,0.048914529,0,0.052253936,0
YCR035C,0.240814363,0.161764706,0.215226506,0.148648649,0.175529214,0.125,0.21628963,0.166666667,0.313485572,0.222222222
YCR036W,0.236321609,0.2,0.203102331,0.173333333,0.187668444,0.147058824,0.288753805,0.238095238,0.348326435,0.227272727
YCR037C,0.182672235,0.108695652,0.141634839,0.084821429,0.056182991,0.032258065,0.152137267,0.085714286,0.155499321,0.090909091
YCR038C,0.363165218,0.272727273,0.281239941,0.212765957,0.220468619,0.142857143,0.197237488,0.142857143,0.217366552,0.142857143
YCR038W-A,0.028046982,0,0.040907675,0,0.033259838,0,0.014607793,0,0.062543589,0
YCR039C,0.000954882,0,0.000692113,0,nan,nan,nan,nan,nan,nan
YCR040W,0.000476802,0,0.000350099,0,0.000285266,0,0.00017116,0,0.00017116,0
YCR041W,0.748009564,0.700854701,0.648319811,0.598484848,0.555190601,0.5,0.99143766,1.117647059,0.930301066,0.875
YCR042C,0.314862454,0.251533742,0.251671547,0.2,0.167994366,0.148148148,0.252576139,0.2,0.254974105,0.222222222
YCR043C,0.631412077,0.179104478,0.42724594,0.120437956,0.391675062,0.1,0.190079778,0,0.964257469,0.266666667
YCR044C,0.069450182,0.047794118,0.048375832,0.033333333,0.040076534,0.025641026,0.046300121,0.029411765,0.061288938,0.033333333
YCR045C,0.178125225,0.126126126,0.135307614,0.098901099,0.106026708,0.083333333,0.130999969,0.086956522,0.182183074,0.107142857
YCR045W-A,0.03617405,0,0.026879085,0,0.020753216,0,0.024658915,0,0.025274042,0
YCR046C,0.537298618,0.634146341,0.554929952,0.6625,0.493181247,0.625,0.965559762,0.9,0.935696815,0.6
YCR047C,0.092052277,0,0.088308959,0,0.070198661,0,0.086344169,0,0.101527359,0
YCR047W-A,0.013087699,0,0.015333097,0,0.013305511,0,0.003945488,0,0.020102479,0
YCR048W,0.14675802,0.11026616,0.136394625,0.103448276,0.130780066,0.1,0.13787042,0.1,0.172422608,0.125
YCR049C,0.305639476,0.255060729,0.27811311,0.230188679,0.266568394,0.214285714,0.310118542,0.206896552,0.292016327,0.208333333
YCR050C,0.221781329,0.185950413,0.160137661,0.133971292,0.144885264,0.121212121,0.286671393,0.125,0.305720814,0.172413793
YCR051W,0.695904273,0.602339181,0.540060504,0.470873786,0.448824309,0.409090909,0.865348265,0.875,0.885060609,0.75
YCR052W,0.194301279,0.169491525,0.136963351,0.117647059,0.092015586,0.083333333,0.150684585,0.111111111,0.175823793,0.137931034
YCR053W,0.104914365,0.047368421,0.080052466,0.034632035,0.036224968,0,0.065757226,0,0.084770438,0
YCR054C,0.197453412,0.148648649,0.145521236,0.105633803,0.092738802,0.071428571,0.118734672,0.05,0.20247695,0.111111111
YCR057C,0.280847268,0.192307692,0.208695766,0.145038168,0.114250038,0.071428571,0.201865814,0.142857143,0.230073652,0.153846154
YCR059C,0.221950944,0.126760563,0.172153879,0.098837209,0.130856845,0.055555556,0.194644442,0.066666667,0.248979454,0.125
YCR060W,0.304520802,0.271428571,0.203776756,0.184331797,0.171041584,0.154929577,0.260443028,0.26,0.285530652,0.254545455
YCR061W,0.313960708,0.272727273,0.244347892,0.208955224,0.188222608,0.142857143,0.309569741,0.266666667,0.315656978,0.222222222
YCR063W,0.038418083,0,0.02910162,0,0.021460599,0,0.028155746,0,0.044104432,0
YCR064C,0.565337796,0.416666667,0.392710747,0.290909091,0.345553592,0.272727273,0.723023722,0.428571429,0.535745314,0.285714286
YCR065W,0.2221713,0.161904762,0.165876549,0.116981132,0.138006657,0.071428571,0.205345966,0.125,0.24413936,0.125
YCR066W,0.302113469,0.238938053,0.257994933,0.204724409,0.177520497,0.15,0.433754835,0.333333333,0.493894587,0.333333333
YCR067C,0.616118817,0.578947368,0.496381176,0.469827586,0.442170845,0.428571429,0.623947673,0.578947368,0.606122956,0.571428571
YCR068W,0.281620412,0.198895028,0.213167694,0.15060241,0.142701824,0.090909091,0.395718229,0.230769231,0.326498138,0.157894737
YCR069W,0.338410925,0.211267606,0.245299094,0.153846154,0.215100228,0.142857143,0.230918971,0.142857143,0.34325645,0.2
YCR071C,0.101682333,0,0.077356598,0,0.052376481,0,0.059705754,0,0.095357933,0
YCR072C,0.071890279,0,0.053718062,0,0.018398001,0,0.105010412,0,0.07450688,0
YCR073C,0.436497607,0.280927835,0.331772475,0.214765101,0.24337051,0.15,0.336513709,0.214285714,0.371941485,0.230769231
YCR073W-A,0.318420163,0.267857143,0.239103903,0.202898551,0.2026239,0.142857143,0.229948419,0.166666667,0.284996785,0.222222222
YCR075C,0.244827497,0.150793651,0.165857218,0.101190476,0.116493625,0.055555556,0.129646918,0.055555556,0.269221248,0.142857143
YCR075W-A,0.128844523,0,0.107525704,0,0.088198345,0,0.168341755,0,0.158311849,0
YCR076C,0.563464679,0.37755102,0.484241298,0.327272727,0.486016779,0.294117647,0.52158622,0.347826087,0.67381124,0.380952381
YCR077C,0.243205186,0.169014085,0.167612151,0.119565217,0.11532913,0.083333333,0.184275533,0.125,0.211354452,0.133333333
YCR079W,0.195453408,0.139240506,0.144005868,0.102040816,0.123393092,0.083333333,0.114098572,0.068181818,0.235051798,0.157894737
YCR081C-A,0.48504292,0.426573427,0.32644473,0.284974093,0.275310325,0.238095238,0.404386734,0.5,0.409756259,0.166666667
YCR081W,0.308710292,0.191666667,0.215829862,0.136363636,0.112878008,0.076923077,0.156453186,0.1,0.20130294,0.125
YCR082W,0.091839498,0,0.051862807,0,0.089864405,0,0.085523568,0,0.087627228,0
YCR083W,0.18228364,0,0.127513417,0,0.119544314,0,0.262275377,0,0.27348608,0
YCR084C,0.308584178,0.209677419,0.222734906,0.153846154,0.145251375,0.071428571,0.198401658,0.1,0.255149289,0.125
YCR085W,0.180138151,0,0.154436797,0,0.130303715,0,0.978823332,0.507936508,0.239342942,0
YCR086W,0.07372152,0,0.045480684,0,0.106349997,0,0.113245709,0,0.169902295,0
YCR087C-A,0.113180364,0,0.074158989,0,0.057315318,0,0.058664775,0,0.071645048,0
YCR087W,1.757035959,1.235294118,0.996832319,0.706666667,0.923960365,0.625,1.125131423,1.2,1.643759062,1.2
YCR088W,0.471908209,0.366666667,0.302344658,0.232,0.240745241,0.153846154,0.446590572,0.266666667,0.505874579,0.263157895
YCR089W,0.747330621,0.690721649,0.532720058,0.483146067,0.423769902,0.409090909,0.539258886,0.5,0.545351698,0.5
YCR090C,0.113094587,0,0.082394681,0,0.067376354,0,0.074187612,0,0.123953576,0
YCR091W,0.342963357,0.271428571,0.26548895,0.211764706,0.164028829,0.111111111,0.263158883,0.153846154,0.308737454,0.173913043
YCR092C,0.289449944,0.247311828,0.203232523,0.173553719,0.155906044,0.125,0.261193703,0.214285714,0.263574767,0.230769231
YCR093W,0.364746472,0.234848485,0.251082255,0.163265306,0.123674633,0.083333333,0.198915813,0.142857143,0.197023228,0.153846154
YCR094W,0.220382736,0.190082645,0.184350914,0.156028369,0.161824022,0.129032258,0.235022733,0.222222222,0.30202867,0.25
YCR095C,0.183113444,0.153846154,0.167229627,0.141176471,0.180192598,0.142857143,0.266398401,0.142857143,0.253913217,0.1875
YCR095W-A,0.701055101,0.447619048,0.424599332,0.273333333,0.314951674,0.242424242,0.323188617,0.109375,0.477042109,0.169047619
YCR096C,0.326844021,0.355140187,0.252433433,0.272727273,0.24993281,0.214285714,0.3992023,0,0.503007733,0.428571429
YCR097W-A,0.656840832,0.569767442,0.689807407,0.6,0.587319174,0.5,0.845957094,0.448275862,0.801958015,0.5
YCR097W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YCR098C,0.139323156,0.071129707,0.124892863,0.06614786,0.077838826,0.034482759,0.248849623,0.117647059,0.220621795,0.1
YCR099C,0.639723143,0.502890173,0.464207216,0.3632287,0.39964394,0.291666667,0.829812881,0.625,0.866353459,0.64516129
YCR100C,0.450577668,0.421052632,0.433998434,0.402173913,0.329048764,0.3,0.652545786,0.611111111,0.562960079,0.5
YCR101C,0.412588023,0.414529915,0.366046013,0.3671875,0.291476157,0.270833333,0.296167082,0.255319149,0.420266225,0.4
YCR102C,0.429270365,0.253968254,0.324118887,0.195439739,0.266592971,0.162790698,0.300214525,0.166666667,0.399115696,0.196428571
YCR102W-A,0.865456986,0.784946237,0.565346793,0.511673152,0.5074178,0.446428571,1.423661501,0.910714286,1.100551614,1
YCR104W,0.23868436,0.221590909,0.190002609,0.177884615,0.152652116,0.136363636,0.29217236,0.266666667,0.289004332,0.266666667
YCR105W,0.246749023,0.128712871,0.193826743,0.098360656,0.184523035,0.125,0.215328181,0.125,0.344702666,0.166666667
YCR106W,0.478968103,0.311111111,0.378513657,0.252173913,0.309008499,0.189189189,0.498658008,0.277777778,0.535762315,0.263157895
YCR107W,0.397045517,0.34965035,0.321407256,0.285714286,0.294613664,0.277777778,0.530325234,0.428571429,0.493510795,0.442307692
YCR108C,1.016492884,0.852941176,0.638170621,0.531531532,0.947136735,0.833333333,0.811848568,0.533333333,1.55544721,1.066666667
YDL001W,0.187716295,0.13125,0.157832523,0.109289617,0.093032071,0.0625,0.19670966,0.153846154,0.201401701,0.133333333
YDL002C,0.141777888,0,0.108268444,0,0.1016483,0,0.112133849,0,0.206979838,0
YDL003W,0.43833375,0.333333333,0.397117998,0.307692308,0.331837078,0.25,0.563772863,0.333333333,0.588807545,0.333333333
YDL004W,0.116730291,0.113360324,0.114758422,0.111111111,0.080376908,0.074074074,0.147024177,0,0.141802576,0.117647059
YDL005C,0.906393217,0.780821918,0.47403248,0.41025641,0.363163576,0.259259259,0.825294643,0.608695652,0.853324507,0.666666667
YDL006W,0.043071465,0,0.041308023,0,0.03351619,0,0.046627991,0,0.044404401,0
YDL007C-A,0.10432745,0,0.065364103,0,0.077184366,0,0.097505924,0,0.142571149,0
YDL007W,0.030677725,0,0.025170931,0,0.023394207,0,0.028582738,0,0.037547963,0
YDL008W,0.120107623,0,0.085017799,0,0.066927084,0,0.110852552,0,0.1337805,0
YDL009C,1.249703765,1.091346154,0.762317073,0.664451827,0.665238358,0.59375,1.12628331,1.074074074,1.544517594,1.277777778
YDL010W,0.228766433,0.137809187,0.188869261,0.112121212,0.136441005,0.071428571,0.307159174,0.2,0.266259276,0.166666667
YDL011C,0.32201936,0.426540284,0.242797455,0.3203125,0.215465697,0.285714286,0.324520914,0.235294118,0.332817879,0.375
YDL012C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL013W,0.300895464,0.162790698,0.260431699,0.147368421,0.216551272,0.083333333,0.19461285,0.111111111,0.417849903,0.111111111
YDL014W,0.082145388,0,0.079350849,0,0.057074439,0,0.053951412,0,0.053752496,0
YDL015C,0.128674377,0,0.083962735,0,0.061232027,0,0.087861495,0,0.107785995,0
YDL016C,0.349840584,0.401709402,0.278721819,0.316546763,0.290672145,0.285714286,0.473061336,0.555555556,0.515289756,0.5
YDL017W,0.159200225,0.115384615,0.12441073,0.086956522,0.05425803,0,0.149145086,0.111111111,0.10402296,0
YDL018C,0.182786029,0.123867069,0.126801042,0.087155963,0.089126798,0.0625,0.190646629,0.125,0.186771022,0.114285714
YDL019C,0.407918399,0.315789474,0.297723195,0.234741784,0.228011354,0.181818182,0.334472125,0.285714286,0.324936602,0.285714286
YDL020C,0.190851793,0.1003861,0.138731364,0.072727273,0.086539937,0.051282051,0.171394634,0.105263158,0.248634604,0.105263158
YDL021W,0.073828831,0,0.056146573,0,0.041983327,0,0.069642706,0,0.076698869,0
YDL022C-A,0.460483224,0.319526627,0.376753606,0.269430052,0.340329632,0.238095238,1.527525314,1.090909091,0.700839177,0.545454545
YDL022W,0.022353424,0,0.016629383,0,0.014272276,0,0.02329918,0,0.02698875,0
YDL023C,0.079386623,0,0.06494066,0,0.135644397,0,0.017583336,0,0.200479173,0
YDL024C,0.327214206,0.256410256,0.242209558,0.18877551,0.174962884,0.133333333,0.295799878,0.230769231,0.310529523,0.25
YDL025C,0.213371246,0.139393939,0.147640073,0.097222222,0.11774823,0.071428571,0.185610144,0.121212121,0.199957667,0.105263158
YDL025W-A,0.17533319,0,0.108821927,0,-0.014208741,0,nan,nan,0.082642512,0
YDL026W,0.674511038,0.470588235,0.487463749,0.34375,0.43902487,0.285714286,0.77968508,0.588235294,0.907220632,0.625
YDL027C,0.52944744,0.394366197,0.379206842,0.284722222,0.360138517,0.272727273,0.300268196,0.230769231,0.448983545,0.375
YDL028C,0.178356461,0.111111111,0.156842564,0.1,0.098984776,0.045454545,0.193499678,0.076923077,0.182176742,0.076923077
YDL029W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
YDL030W,0.379560722,0.381742739,0.263886499,0.265682657,0.197343128,0.205882353,0.316487599,0.285714286,0.46151476,0.363636364
YDL031W,0.160772863,0.092715232,0.118279365,0.069148936,0.055262226,0.029411765,0.133755806,0.083333333,0.11458739,0.071428571
YDL032W,0.139716819,0,0.086099904,0,0.084674135,0,0.128176669,0,0.153141119,0
YDL033C,0.585882257,0.414634146,0.430304375,0.304347826,0.419612557,0.285714286,0.292801161,0.25,0.517533588,0.375
YDL034W,0.521992977,0.412935323,0.365955656,0.290076336,0.312952931,0.25,0.733830102,0.5625,0.621981732,0.5
YDL035C,0.664094874,0.463157895,0.412098505,0.287581699,0.355678445,0.222222222,0.418373468,0.333333333,0.459864811,0.333333333
YDL036C,0.261721587,0.239669421,0.235024183,0.215384615,0.218621255,0.2,0.284610049,0.2,0.421505824,0.363636364
YDL037C,0.623718763,0.561403509,0.393121198,0.358974359,0.326595321,0.25,0.445260565,0.333333333,0.426939407,0.333333333
YDL039C,0.638683184,0.568181818,0.565617139,0.505102041,0.454842166,0.4,0.541512692,0.5,0.571944971,0.5
YDL040C,0.26695794,0.201834862,0.171145027,0.133333333,0.107614058,0.076923077,0.213565621,0.136363636,0.233816131,0.153846154
YDL041W,0.781754074,0.47752809,0.558403081,0.342222222,0.453805361,0.277777778,0.674857957,0.5,0.721498488,0.5
YDL042C,0.431479516,0.38317757,0.321213007,0.285714286,0.260021972,0.214285714,0.498071728,0.4,0.491528367,0.375
YDL043C,0.205451531,0.190114068,0.17241922,0.16,0.140919323,0.125,0.17729539,0.142857143,0.188225713,0.16
YDL044C,0.265352789,0.22907489,0.191653715,0.164383562,0.127535868,0.111111111,0.125266438,0.074626866,0.200482227,0.147058824
YDL045C,0.702993103,0.388535032,0.493913445,0.274509804,0.430373745,0.227272727,0.937477864,0.5,0.905556997,0.5
YDL045W-A,0.178095618,0.118811881,0.1375193,0.090725806,0.11470319,0.075471698,0.080513242,0.043478261,0.123207098,0.102040816
YDL046W,0.089515619,0.081081081,0.067734507,0.06127451,0.05314552,0.044444444,0.121441655,0.111111111,0.115860396,0.111111111
YDL047W,0.044994847,0,0.03229145,0,0.022195478,0,0.026442789,0,0.036491908,0
YDL048C,0.233808314,0.183544304,0.163541993,0.131067961,0.102252623,0.08,0.218147741,0.157894737,0.193529308,0.125
YDL049C,0.137716353,0.074561404,0.109885426,0.059925094,0.085497057,0.035714286,0.133412698,0.047619048,0.135236288,0.045454545
YDL050C,0.188615127,0,0.098147464,0,0.07610961,0,0.100106277,0,0.155997126,0
YDL051W,0.183329505,0,0.113715038,0,0.088713145,0,0.223728756,0.1,0.174652953,0
YDL052C,0.322601207,0.289308176,0.238375831,0.218274112,0.18154793,0.19047619,0.340373614,0.222222222,0.325442977,0.272727273
YDL053C,0.145799142,0.104417671,0.111208288,0.079734219,0.09308946,0.0625,0.12786826,0.060606061,0.138328117,0.076923077
YDL054C,0.53978183,0.454545455,0.400416769,0.333333333,0.296043715,0.214285714,0.756132906,0.5,0.784189251,0.5
YDL055C,0.033489939,0,0.024978487,0,0.02013363,0,0.026616484,0,0.035937409,0
YDL056W,0.221866298,0.157142857,0.167362909,0.119047619,0.167014632,0.111111111,0.229371026,0.1875,0.240927406,0.166666667
YDL057W,0.159949984,0.135,0.13970751,0.119638826,0.107814224,0.086956522,0.216780679,0.173913043,0.20593481,0.16
YDL058W,0.38799902,0.3,0.241712693,0.192,0.154015133,0.142857143,0.246325445,0.2,0.269786545,0.235294118
YDL059C,0.240505269,0.138888889,0.164549824,0.09448884,0.129227488,0.071428571,0.313281633,0.25,0.301903083,0.2
YDL060W,0.25003964,0.195652174,0.175993947,0.13836478,0.132176774,0.105263158,0.217599481,0.125,0.231020263,0.153846154
YDL061C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL062W,0.696876054,0.76744186,0.538013244,0.596153846,0.492923144,0.545454545,0.956207387,0.5,0.936869944,1
YDL063C,0.214609196,0.1875,0.164029564,0.141414141,0.09134201,0.083333333,0.140604093,0.117647059,0.164732402,0.125
YDL064W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL065C,0.242102859,0.168831169,0.168806878,0.117647059,0.142148403,0.090909091,0.256442072,0.1875,0.32477166,0.2
YDL066W,0.034206418,0,0.026478039,0,0.026873588,0,0.030650422,0,0.02660341,0
YDL067C,0.014010597,0,0.01196855,0,0.010391061,0,0.020423794,0,0.020329827,0
YDL068W,0.740672751,0.612149533,0.617942064,0.510288066,0.546815798,0.461538462,0.997266112,0.823529412,0.82743045,0.647058824
YDL069C,0.351824651,0.285046729,0.261477131,0.208955224,0.206974524,0.166666667,0.361835027,0.277777778,0.316146384,0.238095238
YDL070W,0.265175623,0.198113208,0.208060983,0.15625,0.143139266,0.090909091,0.244387325,0.153846154,0.334597717,0.181818182
YDL071C,0.730105406,0.470588235,0.516535731,0.330275229,0.487079911,0.272727273,0.491342188,0.285714286,0.609011833,0.375
YDL072C,0.449269214,0.444444444,0.305905358,0.295774648,0.205747202,0.090909091,0.107487743,0.0625,0.291718902,0.166666667
YDL073W,0.395785969,0.269911504,0.280151763,0.19112628,0.213706924,0.142857143,0.305466969,0.2,0.315263658,0.217391304
YDL074C,0.523798411,0.37037037,0.389517136,0.272727273,0.313294039,0.25,0.519246931,0.333333333,0.706035545,0.5
YDL075W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL076C,0.12514172,0.077114428,0.10324061,0.061702128,0.082077342,0.04,0.100815315,0.075,0.135142116,0.073170732
YDL077C,0.37607527,0.223140496,0.243191749,0.143322476,0.184313929,0.09375,0.191711978,0.142857143,0.212107461,0.153846154
YDL078C,0.075181491,0,0.05601297,0,0.041006992,0,0.054123906,0,0.05688705,0
YDL079C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL080C,0.197527704,0.098765432,0.15602324,0.076219512,0.128008105,0.058823529,0.224260473,0.083333333,0.240774414,0.083333333
YDL081C,0.025308574,0,0.016202741,0,0.015149327,0,0.027506967,0,0.019651892,0
YDL082W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL083C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YDL084W,0.160522927,0.112359551,0.139682989,0.1,0.048484303,0,0.098739708,0.066666667,0.195662612,0.125
YDL085C-A,0.087547701,0,0.046932344,0,0.042891407,0,0.015381755,0,0.119602239,0
YDL085W,0.240074336,0.2,0.173311067,0.148148148,0.094078099,0.0625,0.150897588,0.125,0.220922135,0.142857143
YDL086C-A,0.305125572,0.231292517,0.211680947,0.160621762,0.195001561,0.142857143,0.14838754,0.111111111,0.327234024,0.259259259
YDL086W,0.251194659,0.202380952,0.181518095,0.148148148,0.199705608,0.176470588,0.340206459,0.285714286,0.348240107,0.3
YDL087C,0.170740568,0.082949309,0.120468297,0.060070671,0.084954751,0.033333333,0.09759338,0.066666667,0.209906871,0.117647059
YDL088C,0.376425806,0.361702128,0.283249242,0.275862069,0.201985925,0.166666667,0.486804252,0.34375,0.518560141,0.333333333
YDL089W,0.253944602,0.228395062,0.193456512,0.173469388,0.118776197,0.1,0.406916816,0.333333333,0.285179651,0.2
YDL090C,0.179068666,0.158730159,0.161657666,0.145631068,0.159534895,0.111111111,0.205392056,0.153846154,0.210309697,0.166666667
YDL091C,0.2392202,0.174418605,0.184727338,0.132352941,0.09298513,0,0.317817777,0.111111111,0.320913171,0.1
YDL092W,0.433427268,0.372781065,0.322797727,0.276190476,0.261137377,0.217391304,0.343616102,0.277777778,0.469368164,0.333333333
YDL093W,0.279986791,0.175141243,0.206743057,0.131221719,0.146876256,0.085714286,0.286941585,0.173913043,0.288028741,0.166666667
YDL094C,0.564143534,0.369863014,0.426366819,0.278688525,0.363163199,0.25,0.275950663,0.166666667,0.474382382,0.3125
YDL095W,0.18190274,0.108910891,0.133770415,0.086614173,0.090041072,0.052631579,0.139828694,0.076923077,0.115803909,0
YDL096C,0.27127143,0,0.200310787,0,0.194365722,0,0.379217647,0,0.251596416,0
YDL097C,0.107524831,0,0.068103791,0,0.058847743,0,0.077289443,0,0.083823458,0
YDL098C,0.235640243,0.129032258,0.157985264,0.087301587,0.137356793,0,0.100837371,0,0.261932454,0
